root,verb_forms,count_vf,frequency,romanized,root_length
थम,"थमा,थमने,थम,थमी",4.0,12.0,thama,2
थमा,थमाते,1.0,4.0,thamA,3
थर्रा,"थर्रा,थर्राया",2.0,3.0,tharrA,5
था,"था,थी,थे,थीं",4.0,825.0,thA,2
थाः,थीः,1.0,1.0,thAH,3
थाम,"थामो,थामते,थाम",3.0,6.0,thAma,3
थिरक,"थिरकते,थिरकती",2.0,1.0,thiraka,4
दफना,"दफनाए,दफनाया,दफनाई",3.0,6.0,daphanA,4
दब,"दबे,दब,दबी",3.0,10.0,daba,2
दबा,"दबाने,दबा,दबाकर,दबाएं,दबाते,दबाया,दबाएंगे",7.0,13.0,dabA,3
दबोच,"दबोचने,दबोचते,दबोच",3.0,7.0,dabocha,4
दमक,दमकने,1.0,1.0,damaka,3
दर्शा,"दर्शाता,दर्शाते,दर्शाया,दर्शाने,दर्शाती,दर्शा",6.0,11.0,darshA,5
दर्शाए,दर्शाए,1.0,1.0,darshAe,6
दल,दलकर,1.0,295.0,dala,2
दहल,"दहल,दहलेंगे,दहली",3.0,3.0,dahala,3
दहला,दहला,1.0,1.0,dahalA,4
दाग,"दागा,दागे,दागने,दागकर,दाग,दागते,दागी",7.0,6.0,dAga,3
दिख,"दिखा,दिखी,दिख,दिखते,दिखने,दिखता,दिखें,दिखना,दिखेगा,दिखे,दिखती,दिखेंगे,दिखेगी",13.0,30.0,dikha,3
दिखा,"दिखाई,दिखाया,दिखाता,दिखाते,दिखाने,दिखाकर,दिखाएगा,दिखाती,दिखाए,दिखाना,दिखाऊंगा,दिखाएगी,दिखाएं,दिखाऊँगा,दिखायी",15.0,141.0,dikhA,4
दिल,दिलवाकर,1.0,10.0,dila,3
दिलवा,"दिलवाने,दिलवाया",2.0,1.0,dilavA,5
दिला,"दिलाता,दिलाकर,दिलाया,दिलाये,दिलाने,दिलाएगा,दिलाएगी,दिला,दिलाएंगे,दिलाई,दिलाते,दिलाना,दिलाती,दिलाइए",14.0,69.0,dilA,4
दुख,दुखा,1.0,9.0,dukha,3
दुत्कार,दुत्कार,1.0,1.0,dutkAra,7
दुबक,दुबके,1.0,1.0,dubaka,4
दुलार,दुलारने,1.0,1.0,dulAra,5
दूंगा,दूंगी,1.0,1.0,dUMgA,5
दे,"दी,दिया,देती,देना,देने,देगा,दिए,देता,देगी,देते,दिये,देकर,देनी,दें,दिलवाई,दिलवानी,दिलवाना,देंगी,देंगे,देतीं,दीं,देनेवाले,दो,दूंगा,दिलवा,दोगे,दीजिए,दूँ",28.0,2309.0,de,2
देख,"देखा,देखते,देखने,देख,देखी,देखीं,देखना,देखे,देखिये,देखें,देखकर,देखता,देखेंगे,देखो,देखेंगी,देखेगी,देखिए",17.0,481.0,dekha,3
दोहरा,"दोहराया,दोहराने,दोहराते,दोहराई,दोहराए,दोहराती,दोहरा",7.0,22.0,doharA,5
दौड,"दौड़ा,दौड़ते,दौड़ती,दौड़ी,दौड़",5.0,19.0,dauDa,3
दौड़,"दौड़,दौड़ता,दौड़ने,दौड़े",4.0,10.0,dau.Da,3
दौड़ा,"दौड़ाकर,दौड़ाई",2.0,2.0,dau.DA,4
धकिया,धकिया,1.0,1.0,dhakiyA,5
धकेल,धकेल,1.0,1.0,dhakela,4
धमका,"धमकाया,धमकाने,धमका,धमकाते",4.0,7.0,dhamakA,4
धर,"धरे,धरी,धर,धरने",4.0,5.0,dhara,2
धुँधला,धुँधला,1.0,2.0,dhu.NdhalA,6
धो,"धोकर,धो,धोना,धोए",4.0,8.0,dho,2
धड़धड़ा,धड़धड़ाता,1.0,1.0,dha.Dadha.DA,5
नकार,"नकार,नकारते,नकारने,नकारा",4.0,11.0,nakAra,4
नवाज,"नवाजा,नवाज़,नवाजता",3.0,8.0,navAja,4
नहला,नहलाया,1.0,1.0,nahalA,4
नहा,"नहाए,नहाने,नहाया,नहा",4.0,11.0,nahA,3
नाच,नाचने,1.0,1.0,nAcha,3
नाप,"नापो,नाप",2.0,4.0,nApa,3
निकल,"निकलती,निकल,निकली,निकला,निकलने,निकले,निकलनेवाले,निकलना,निकलता,निकलते,निकलकर,निकलीं,निकलवाकर,निकलें",14.0,123.0,nikala,4
निकलवा,निकलवाने,1.0,1.0,nikalavA,6
निकाल,"निकाल,निकाली,निकालने,निकालना,निकाला,निकाले,निकालकर,निकालते,निकालती,निकालेंगे",10.0,91.0,nikAla,5
निखर,निखरी,1.0,3.0,nikhara,4
निखार,निखारने,1.0,3.0,nikhAra,5
निगल,"निगलने,निगलना,निगल,निगलते,निगली",5.0,3.0,nigala,4
निपट,"निपटने,निपटा,निपट,निपटेंगे,निपटना",5.0,55.0,nipaTa,4
निपटा,"निपटाएँगे,निपटाने,निपटाया,निपटाए,निपटाएं,निपटाएंगे,निपटाई,निपटाएगा",8.0,18.0,nipaTA,5
निपोर,निपोर,1.0,1.0,nipora,5
निबट,"निबटने,निबटना",2.0,4.0,nibaTa,4
निबटा,"निबटाने,निबटाया",2.0,3.0,nibaTA,5
निभ,निभा,1.0,2.0,nibha,3
निभा,"निभाता,निभाई,निभानी,निभाने,निभाती,निभाते,निभाया,निभाईं,निभाएगी,निभाएँगी,निभाना,निभाएंगे,निभाए",13.0,51.0,nibhA,4
निहार,"निहारना,निहारने,निहार,निहारा,निहारते",5.0,21.0,nihAra,5
पंहुच,"पंहुचने,पंहुची",2.0,2.0,paMhucha,5
पकड,"पकड़ी,पकड़ने,पकड़,पकड़ा,पकड़ने,पकड़कर,पकड़े,पकड़े,पकड़ती,पकड़",10.0,62.0,pakaDa,3
पकड़,"पकड़वाया,पकड़नी",2.0,2.0,paka.Da,4
पका,"पकाने,पकाएं,पकाइए,पकाए,पकाया",5.0,1.0,pakA,3
पचा,पचा,1.0,1.0,pachA,3
पछता,पछताने,1.0,1.0,paChatA,4
पछाड,पछाड़ते,1.0,1.0,paChADa,4
पट,"पटे,पटा,पट",3.0,6.0,paTa,2
पटक,पटकने,1.0,2.0,paTaka,3
पड,"पडना,पड़ेगा,पड़,पड़े,पड़ी,पड़ती,पड़ते,पड़कर,पड़ता,पड़ेगी,पड़ने",11.0,92.0,paDa,2
पड़,"पड़ता,पड़ने,पड़ती,पड़ा,पड़ते,पड़ती",6.0,8.0,pa.Da,3
पढ,"पढ़ते,पढ़ना,पढ़ता,पढ़,पढ़ते,पढ़ने,पढा",7.0,32.0,paDha,2
पढ़,"पढ़े,पढ़ा,पढ़ी",3.0,1.0,pa.Dha,3
पढा,"पढ़ाया,पढ़ाने,पढ़ा,पढाने,पढ़ाना",5.0,11.0,paDhA,3
पनप,"पनपने,पनपी,पनपता,पनप,पनपती",5.0,4.0,panapa,3
परख,"परखा,परख,परखने",3.0,4.0,parakha,3
परोस,"परोसी,परोसें,परोसा,परोसने,परोसेगा,परोसकर",6.0,7.0,parosa,4
पल,"पलते,पलने,पलकर,पली",4.0,5.0,pala,2
पलट,"पलट,पलटा,पलटी,पलटकर,पलटके",5.0,9.0,palaTa,3
पसर,"पसर,पसरा",2.0,2.0,pasara,3
पसार,पसार,1.0,2.0,pasAra,4
पसीज,पसीजते,1.0,2.0,pasIja,4
पहचान,"पहचान,पहचानने,पहचानना,पहचाना,पहचाने,पहचानी,पहचानता",7.0,100.0,pahachAna,5
पहन,"पहनने,पहन,पहनना,पहने,पहनकर,पहना,पहनी,पहनें,पहनीं,पहनेंगी,पहनती",11.0,33.0,pahana,3
पहना,"पहनाया,पहनाने,पहनाना",3.0,8.0,pahanA,4
पहुँच,"पहुँच,पहुँचने,पहुँचा,पहुँचते,पहुँचता,पहुँचना,पहुँचे,पहुँची,पहुँचेगी,पहुँचें,पहुँचाने,पहुँचेगा,पहुँचती,पहुँचेंगे,पहुँचकर",15.0,69.0,pahu.Ncha,5
पहुँचा,"पहुँचाती,पहुँचाना,पहुँचाया,पहुँचाई,पहुँचाएगा,पहुँचाएं,पहुँचाकर",7.0,15.0,pahu.NchA,6
पहुंच,"पहुंच,पहुंचती,पहुंचा,पहुंचे,पहुंचने,पहुंचते,पहुंचकर,पहुंचाया,पहुंची,पहुंचेंगे,पहुंचेगी,पहुंचना,पहुंचनी,पहुंचता,पहुंचेंगी,पहुंचीं,पहुंचेगा",17.0,351.0,pahuMcha,5
पहुंचा,"पहुंचाते,पहुंचाती,पहुंचाने,पहुंचाएगा,पहुंचाई,पहुंचाना,पहुंचाए,पहुंचानी,पहुंचाता",9.0,64.0,pahuMchA,6
पा,"पाया,पाएंगे,पाई,पाए,पाने,पायी,पाये,पाएगा,पाना,पा,पाकर,पाओ,पाता,पाते",14.0,144.0,pA,2
पाट,पाटने,1.0,8.0,pATa,3
पाल,"पाला,पाले",2.0,7.0,pAla,3
पिघल,"पिघलने,पिघला,पिघल",3.0,2.0,pighala,4
पिचका,पिचकाने,1.0,1.0,pichakA,5
पिछड,"पिछड़ी,पिछड़,पिछड़ने,पिछड़े",4.0,8.0,piChaDa,4
पिट,"पिटती,पिटे,पिटी,पिट",4.0,1.0,piTa,3
पिरो,"पिरोना,पिरोने",2.0,1.0,piro,4
पिला,"पिलायी,पिला,पिलाई,पिलाती,पिलाते",5.0,7.0,pilA,4
पिस,"पिसी,पिसे,पिसा",3.0,1.0,pisa,3
पी,"पीओ,पिया,पिओ,पीकर,पी,पीती",6.0,28.0,pI,2
पीट,"पीटा,पीटकर",2.0,7.0,pITa,3
पीस,"पीस,पीसी,पीसें,पीसकर,पीसे",5.0,6.0,pIsa,3
पुकार,"पुकारा,पुकार,पुकारने",3.0,1.0,pukAra,5
पूछ,"पूछा,पूछ,पूछे,पूछने,पूछना,पूछो,पूछूं,पूछकर,पूछता,पूछें,पूछते,पूछती,पूछिए",13.0,136.0,pUCha,3
पूरा,पूरा,1.0,144.0,pUrA,4
पोंछ,पोंछते,1.0,3.0,poMCha,4
पोछ,पोछते,1.0,1.0,poCha,3
पड़,"पड़ता,पड़ने,पड़ा,पड़ेगा,पड़ेगी,पड़ी,पड़े",7.0,87.0,pa.Da,2
पढ़,"पढ़ने,पढ़े,पढ़ा,पढ़कर",4.0,18.0,paढ़,2
पढ़ा,"पढ़ाए,पढ़ाएंगे,पढ़ाने,पढ़ाई",4.0,11.0,paढ़A,3
फँस,"फंसने,फंस,फंसे,फंसी,फंसा",5.0,34.0,pha.Nsa,3
फँसा,"फंसाने,फंसाया",2.0,8.0,pha.NsA,4
फट,"फट,फटे,फटने,फटते",4.0,7.0,phaTa,2
फटक,"फटका,फटक",2.0,2.0,phaTaka,3
फल,फलने,1.0,6.0,phala,2
फहरा,"फहराने,फहरा,फहराते",3.0,1.0,phaharA,4
फाँस,फांसकर,1.0,1.0,phA.Nsa,4
फांद,फांदकर,1.0,1.0,phAMda,4
फाइल,फाइल,1.0,20.0,phAila,4
फाड,फाड़कर,1.0,1.0,phADa,3
फिर,"फिरना,फिरने,फिर,फिरती",4.0,205.0,phira,3
फिल्म,फिल्माईं,1.0,101.0,philma,5
फिल्मा,"फिल्माए,फिल्माने",2.0,1.0,philmA,6
फिल्‍मा,फिल्‍माया,1.0,1.0,phil{}mA,7
फिसल,"फिसलने,फिसलकर,फिसल",3.0,4.0,phisala,4
फुफकार,फुफकारा,1.0,1.0,phuphakAra,6
फूँक,फूँक,1.0,1.0,phU.Nka,4
फूंक,"फूंक,फूंका",2.0,7.0,phUMka,4
फूंकने,फूंकने,1.0,1.0,phUMkane,6
फूट,"फूटते,फूटने,फूट,फूटी",4.0,6.0,phUTa,3
फूल,"फूलना,फूले,फूलने,फूल,फूली",5.0,26.0,phUla,3
फेंक,"फेंक,फेंककर,फेंके,फेंका,फेंकने,फेंकते",6.0,20.0,pheMka,4
फेर,"फेरनी,फेर,फेरने",3.0,9.0,phera,3
फैल,"फैलता,फैलते,फ़ैल,फैलने,फैले,फैली,फैल,फैला,फैलती,फैलना,फैलकर",11.0,40.0,phaila,3
फैला,"फैलाते,फैलाता,फ़ैलाने,फैलाने,फैलाएं,फैलाकर,फैलाया,फैलाए,फैलाना",9.0,23.0,phailA,4
फोड,फोड़ी,1.0,1.0,phoDa,3
फोड़,"फोड़कर,फोड़े,फोड़ा,फोड़ना",4.0,9.0,pho.Da,3
बँट,"बँटा,बँटे",2.0,1.0,ba.NTa,3
बँध,"बँधी,बंधने,बंधी,बंधे,बंधा,बँधे",6.0,9.0,ba.Ndha,3
बंट,"बंट,बंटे,बंटेगा,बंटा",4.0,6.0,baMTa,3
बंटा,बंटाने,1.0,1.0,baMTA,4
बख्श,"बख्शा,बख्श्ते,बख्शेंगे,बख्श,बख्शी",5.0,8.0,bakhsha,4
बच,"बच,बचा,बचने,बचते,बची,बचे,बचना,बचेगा,बचें,बचेगी,बचती,बचता,बचके,बचेंगे",14.0,94.0,bacha,2
बचा,"बचाने,बचाना,बचाती,बचाया,बचाए,बचाई,बचाएगा,बचाओ,बचाते,बचाकर,बचाता",11.0,64.0,bachA,3
बज,"बज,बजकर,बजी,बजती,बजने",5.0,65.0,baja,2
बजा,"बजाया,बजाए,बजाकर,बजा,बजाने,बजाना,बजाएंगे,बजायेंगे",8.0,10.0,bajA,3
बटा,बटाने,1.0,1.0,baTA,3
बटोर,"बटोर,बटोरने,बटोरे,बटोरकर",4.0,3.0,baTora,4
बढ,"बढ़,बढ़े,बढ़ते,बढ़ी,बढ़ा,बढ़ेगा,बढ़ने,बढ़कर,बढ़ता,बढ,बढती,बढ़ती,बढ़ी,बढ़ते,बढ़ता,बढ़ेगा,बढा,बढ़ीं,बढने",19.0,108.0,baDha,2
बढ़,"बढ़ती,बढ़ना,बढ़ेगी",3.0,13.0,ba.Dha,3
बढ़ा,"बढ़ाते,बढ़ाता,बढ़ाती,बढ़ाकर,बढ़ाएगा,बढ़ायी,बढ़ाए,बढ़वाइए,बढ़ाता",9.0,17.0,ba.DhA,4
बढा,"बढ़ाने,बढ़ाई,बढ़ाया,बढ़ाना,बढाती,बढ़ाने,बढ़ाकर,बढ़ायेगा,बढ़ाये,बढ़ा,बढ़ाना,बढ़ाए,बढाई,बढ़ाते,बढाने",15.0,110.0,baDhA,3
बढावा,बढ़ावा,1.0,21.0,baDhAvA,5
बता,"बताता,बताते,बता,बताया,बताने,बताएंगे,बताना,बताये,बताए,बताएं,बताई,बताती,बताकर,बताएगा,बताओ,बताईं,बतायी,बताइए,बताएँ",19.0,1020.0,batA,3
बदल,"बदल,बदलकर,बदलने,बदला,बदलें,बदलता,बदलती,बदलना,बदले,बदलते,बदलेंगे,बदलवा,बदली,बदलेगी,बदलनी",15.0,122.0,badala,3
बदलवा,बदलवाने,1.0,1.0,badalavA,5
बन,"बने,बनी,बनती,बना,बन,बनकर,बनते,बनता,बनने,बनवाया,बनना,बनीं,बनेगा,बनेगी,बनवाई,बनें,बनेंगी,बनवाये",18.0,463.0,bana,2
बनवा,"बनवाए,बनवाने,बनवाकर,बनवा",4.0,10.0,banavA,4
बना,"बनाया,बनाएगी,बनाई,बनाए,बनाता,बनाते,बनाने,बनाना,बनाये,बनायी,बनाती,बनायेंगे,बनाकर,बनाएं,बनानी,बनाएगा,बनाएंगे,बनायीं,बनाएंगी,बनाएँ",20.0,627.0,banA,3
बरगला,बरगला,1.0,1.0,baragalA,5
बरत,"बरतनी,बरतने,बरता,बरती,बरतते,बरते,बरतना,बरतें",8.0,38.0,barata,3
बरपा,"बरपाया,बरपाना",2.0,2.0,barapA,4
बरस,"बरसते,बरसा,बरसने",3.0,5.0,barasa,3
बरसा,"बरसाया,बरसाईं,बरसानी,बरसाए",4.0,5.0,barasA,4
बस,"बसी,बस,बसे,बसा",4.0,94.0,basa,2
बसा,"बसाया,बसाने",2.0,7.0,basA,3
बह,"बह,बहती,बहते,बहना,बहकर,बहने,बहता",7.0,25.0,baha,2
बहा,"बहाती,बहाने,बहाता,बहाकर",4.0,9.0,bahA,3
बाँट,"बाँटी,बाँट,बाँटने,बाँटा",4.0,3.0,bA.NTa,4
बाँध,"बाँधकर,बाँधने,बाँधे,बाँध",4.0,5.0,bA.Ndha,4
बांट,"बांट,बांटने,बांटा,बांटती,बांटे,बांटी",6.0,24.0,bAMTa,4
बांध,"बांधता,बांधकर,बांधा,बांध,बांधे,बांधना,बांधने",7.0,34.0,bAMdha,4
बिक,"बिकने,बिका,बिके,बिक,बिकते",5.0,8.0,bika,3
बिखर,"बिखरे,बिखरने,बिखरी",3.0,8.0,bikhara,4
बिखेर,"बिखेर,बिखेरकर,बिखेरने,बिखेरे,बिखेरती,बिखेरता,बिखेरते",7.0,4.0,bikhera,5
बिगड,"बिगड़,बिगड़ती,बिगड़ने,बिगड़ते,बिगड़नी,बिगड़ता,बिगड़,बिगड़ती",8.0,15.0,bigaDa,4
बिगाड,"बिगाड़,बिगाड़ा",2.0,6.0,bigADa,5
बिछ,"बिछा,बिछ,बिछी",3.0,4.0,biCha,3
बिछा,"बिछाकर,बिछाए,बिछाने,बिछाया,बिछाई",5.0,15.0,biChA,4
बिछुड,बिछुड़े,1.0,2.0,biChuDa,5
बिठा,"बिठाने,बिठाकर,बिठाया,बिठाना,बिठाए",5.0,8.0,biThA,4
बिता,"बिताता,बिताने,बिताना,बिता,बिताए,बिताया,बिताते",7.0,9.0,bitA,4
बिफर,बिफरे,1.0,1.0,biphara,4
बीज,बीजेंगे,1.0,4.0,bIja,3
बीजा,"बीजा,बीजे",2.0,3.0,bIjA,4
बीत,"बीते,बीत,बीती,बीतते,बीतने,बीता",6.0,31.0,bIta,3
बुझ,"बुझे,बुझती",2.0,1.0,bujha,3
बुझा,बुझाने,1.0,2.0,bujhA,4
बुन,"बुना,बुनी",2.0,2.0,buna,3
बुला,"बुलाई,बुलाए,बुलाया,बुलाकर,बुलाने,बुला,बुलाती,बुलाये,बुलाएं,बुलाना,बुलानी,बुलाते,बुलाओ",13.0,101.0,bulA,4
बेच,"बेचे,बेचा,बेच,बेचने,बेची,बेचेगा,बेचकर,बेचती,बेचनी",9.0,58.0,becha,3
बेल,"बेल,बेलते",2.0,4.0,bela,3
बैठ,"बैठ,बैठे,बैठते,बैठने,बैठा,बैठी,बैठकर,बैठती,बैठना,बैठेंगे,बैठिए,बैठो,बैठोगी,बैठता",14.0,91.0,baiTha,3
बैठा,"बैठाने,बैठाया,बैठाकर",3.0,12.0,baiThA,4
बो,"बोया,बोयी,बोना,बोने,बोयेंगे,बोई",6.0,4.0,bo,2
बोल,"बोलकर,बोलने,बोलते,बोला,बोलना,बोल,बोलता,बोलीं,बोले,बोलेंगे,बोलती,बोली,बोलूँ",13.0,124.0,bola,3
बौखला,बौखला,1.0,3.0,baukhalA,5
ब्याह,"ब्याहने,ब्याहना",2.0,36.0,byAha,5
बढ़,"बढ़कर,बढ़,बढ़ने,बढ़ना,बढ़ेगी,बढ़े,बढ़ेंगे,बढ़ें",8.0,142.0,baढ़,2
बढ़ा,"बढ़ाई,बढ़ाया,बढ़ाती,बढ़ाएगा,बढ़ाएंगे",5.0,125.0,baढ़A,3
बढ़ाएं,बढ़ाएं,1.0,1.0,baढ़AeM,5
भगा,"भगाने,भगा,भगाए,भगाकर",4.0,2.0,bhagA,3
भटक,"भटक,भटकते",2.0,5.0,bhaTaka,3
भटका,भटकाने,1.0,1.0,bhaTakA,4
भडक,"भड़कें,भड़कने,भड़की",3.0,6.0,bhaDaka,3
भडका,भड़काने,1.0,1.0,bhaDakA,4
भर,"भरी,भर,भरने,भरा,भरना,भरता,भरें,भरकर,भरे,भरनी,भरेंगे,भरते,भरती",13.0,103.0,bhara,2
भरा,"भराकर,भराया",2.0,4.0,bharA,3
भांज,"भांज,भांजकर",2.0,2.0,bhAMja,4
भांप,"भांप,भांपना",2.0,7.0,bhAMpa,4
भाग,"भाग,भागने,भागीं,भागकर,भागे,भागा,भागना,भागते,भागता,भागती",10.0,111.0,bhAga,3
भिजवा,"भिजवाए,भिजवा",2.0,2.0,bhijavA,5
भिड़,भिड़ना,1.0,1.0,bhi.Da,3
भीग,"भीगे,भीगने,भीगी,भीगा,भीग,भीगकर",6.0,2.0,bhIga,3
भीगो,भीगोकर,1.0,1.0,bhIgo,4
भुगत,"भुगतने,भुगतना,भुगतनी",3.0,4.0,bhugata,4
भुना,"भुनाने,भुनाएगी,भुनाना",3.0,5.0,bhunA,4
भुला,"भुलाने,भुलाया,भुलाकर,भुला",4.0,7.0,bhulA,4
भूल,"भूल,भूलें,भूले,भूलकर,भूलीं,भूलिएगा,भूलतीं,भूला,भूली,भूलिये,भूलते",11.0,35.0,bhUla,3
भेज,"भेजते,भेजने,भेज,भेजना,भेजा,भेजी,भेजे,भेजकर,भेजती,भेजेंगे,भेजेगा,भेजूंगी",12.0,263.0,bheja,3
भोग,"भोगा,भोगे,भोग,भोगने",4.0,12.0,bhoga,3
भड़क,"भड़क,भड़केगा,भड़की,भड़के",4.0,12.0,bha.Daka,3
भड़का,"भड़काया,भड़काने",2.0,3.0,bha.DakA,4
मंगवा,"मंगवाया,मंगवाए,मंगवाकर",3.0,3.0,maMgavA,5
मंगा,"मंगा,मंगाकर,मंगाने,मंगाए,मंगाई",5.0,7.0,maMgA,4
मंझे,मंजे,1.0,1.0,maMjhe,4
मंडरा,"मंडराने,मंडराते,मंडरा",3.0,4.0,maMDarA,5
मच,"मचा,मच,मची,मचे",4.0,17.0,macha,2
मचल,मचल,1.0,2.0,machala,3
मचा,"मचाया,मचाने,मचाएं,मचाई",4.0,6.0,machA,3
मढ,"मढ़ने,मढ़ने",2.0,2.0,maDha,2
मथ,मथ,1.0,1.0,matha,2
मनवा,मनवाते,1.0,1.0,manavA,4
मना,"मना,मनाने,मनाएंगे,मनाएगी,मनाया,मनाकर,मनाए,मनाएगीं,मनाएगा,मनाते,मनाएं",11.0,74.0,manA,3
मर,"मर,मरने,मरता,मरी,मरे,मरेंगे,मरती,मरवाने,मरते",9.0,60.0,mara,2
मल,मले,1.0,2.0,mala,2
माँग,"माँगता,माँगी,माँग,माँगे,माँगा,माँगने,माँगेगा,माँगें,माँगूगी,माँगना,माँगते",11.0,59.0,mA.Nga,4
मांग,"मांग,मांगे,मांगी,मांगने,मांगना,मांगा,मांगते,मांगनी,मांगती,मांगू,मांगो,मांगता,मांगेंगे,मांगेगी",14.0,308.0,mAMga,4
मान,"माना,मानी,मानते,मान,मानें,मानना,मानता,माने,मानकर,मानने,मानेंगे,मानती,माननी,मानो,मानेगा",15.0,375.0,mAna,3
माप,"मापे,मापा,मापकर,मापने,मापी",5.0,2.0,mApa,3
मार,"मार,मारे,मारने,मारा,मारी,मारकर,मारती,मारेंगे,मारता",9.0,298.0,mAra,3
मिट,मिट,1.0,4.0,miTa,3
मिटा,"मिटा,मिटाया,मिटाने,मिटाता",4.0,12.0,miTA,4
मिल,"मिले,मिला,मिलेंगे,मिलते,मिली,मिल,मिलने,मिलेगी,मिलता,मिलकर,मिलती,मिलेगा,मिलीं,मिलना,मिली.,मिलनी,मिलेंगी,मिलें,मिलवाया,मिलेगीं,मिलूंगी,मिलूं,मिलोगी",23.0,938.0,mila,3
मिला,"मिलाया,मिलाना,मिलाने,मिलाते,मिलाएं,मिलाइए,मिलाएँ,मिलाएगा,मिलाए",9.0,25.0,milA,4
मुकर,"मुकर,मुकरने",2.0,11.0,mukara,4
मुरझा,"मुरझाया,मुरझाये",2.0,2.0,murajhA,5
मुस्कुरा,"मुस्कुराना,मुस्कुरा",2.0,1.0,muskurA,8
मुड़,"मुड़,मुड़कर",2.0,2.0,mu.Da,3
मूंद,"मूंदे,मूंद",2.0,2.0,mUMda,4
मूंदकर,मूंदकर,1.0,1.0,mUMdakara,6
मोड,"मोड,मोड़ते",2.0,3.0,moDa,3
मोड़,"मोड़ी,मोड़",2.0,2.0,mo.Da,4
मोह,"मोह,मोहने",2.0,6.0,moha,3
मोड़,"मोड़ा,मोड़,मोड़ना",3.0,8.0,mo.Da,3
रंग,"रंगा,रंग,रंगे",3.0,19.0,raMga,3
रख,"रखते,रखे,रखती,रखेगी,रखा,रख,रखी,रखेगा,रखने,रखकर,रखना,रखेंगे,रखनी,रखता,रखें,रखीं,रखो,रखोगी,रखवाएगा,रखूंगा",20.0,532.0,rakha,2
रखवा,रखवा,1.0,1.0,rakhavA,4
रगड,रगड़ते,1.0,3.0,ragaDa,3
रच,"रच,रचे,रचने,रचते,रची,रचा",6.0,20.0,racha,2
रचा,रचाई,1.0,1.0,rachA,3
रटा,रटाई,1.0,1.0,raTA,3
रम,"रमने,रम",2.0,3.0,rama,2
रह,"रहा,रही,रहे,रहती,रहीं,रहेगा,रहेगी,रहेंगी,रह,रहते,रहता,रहेंगे,रहकर,रहने,रहनी,रहना,रहें,रहो,रहूंगी,रहूँगा,रहोगे,रहिए,रहूंगा",23.0,770.0,raha,2
रिझा,"रिझा,रिझाया",2.0,2.0,rijhA,4
रिस,"रिस,रिसने",2.0,2.0,risa,3
रुक,"रुकने,रुक,रुका,रुकी,रुकेगी,रुके,रुकती,रुकते,रुकेगा,रुकना",10.0,27.0,ruka,3
रुकवा,"रुकवाने,रुकवाई",2.0,2.0,rukavA,5
रूक,"रूकने,रूका",2.0,3.0,rUka,3
रूठ,"रूठा,रूठ",2.0,2.0,rUTha,3
रेंग,"रेंगते,रेंग",2.0,2.0,reMga,4
रेत,रेत,1.0,4.0,reta,3
रो,"रोया,रोये,रोते,रोने,रो,रोकर",6.0,19.0,ro,2
रोक,"रोक,रोकना,रोकने,रोका,रोकता,रोकते,रोकती,रोककर,रोके,रोकें,रोकेगा",11.0,203.0,roka,3
रोप,"रोपकर,रोपा",2.0,3.0,ropa,3
रौंद,रौंदने,1.0,2.0,rauMda,4
लग,"लग,लगी,लगा,लगता,लगे,लगने,लगती,लगना,लगेगा,लगनी,लगवाती,लगते,लगतीं,लगेगी,लगेंगे,लगीं,लगवाई,लगवाए",18.0,357.0,laga,2
लगवा,"लगवा,लगवाएं,लगवाएँ",3.0,1.0,lagavA,4
लगा,"लगाया,लगाए,लगाना,लगाने,लगाई,लगाते,लगाये,लगायी,लगाकर,लगाएं,लगाएगा,लगाएगी,लगानी,लगाती,लगाएंगी,लगाइएगा,लगाता,लगाएंगे,लगाइये,लगाएँगे,लगाईं",21.0,599.0,lagA,3
लटक,"लटक,लटकती,लटके,लटकाने,लटकते",5.0,7.0,laTaka,3
लटका,"लटकाकर,लटकाते",2.0,3.0,laTakA,4
लड,"लड़कर,लड़ने,लड़,लड़े,लड़ेगी,लड़ते,लड़ेगा,लड़ी",8.0,35.0,laDa,2
लड़,"लड़ने,लड़ते,लड़,लड़ता",4.0,4.0,la.Da,3
लतिया,लतिया,1.0,2.0,latiyA,5
लद,लदे,1.0,2.0,lada,2
लपक,"लपके,लपका,लपक",3.0,3.0,lapaka,3
लपेट,"लपेटी,लपेट,लपेटा,लपेटकर",4.0,6.0,lapeTa,4
ललकार,ललकारा,1.0,2.0,lalakAra,5
लहरा,"लहराया,लहराते,लहराएगा,लहराती",4.0,6.0,laharA,4
लहलहा,लहलहाती,1.0,1.0,lahalahA,5
ला,"लाने,ला,लाएगी,लाया,लाएगा,लाई,लाए,लाना,लाएं,लानी,लाकर,लाएंगे,लाते,लाती,लाये,लायीं,लाता,लाओ,लायी",19.0,171.0,lA,2
लाँघ,लाँघ,1.0,1.0,lA.Ngha,4
लांघ,"लांघने,लांघ,लांघी",3.0,2.0,lAMgha,4
लाद,"लादने,लादें,लादकर",3.0,1.0,lAda,3
लिख,"लिखा,लिखे,लिख,लिखी,लिखना,लिखते,लिखता,लिखें,लिखने,लिखकर,लिखवाई,लिखवा,लिखित,लिखनी,लिखती",15.0,135.0,likha,3
लिखवा,लिखवाया,1.0,2.0,likhavA,5
लिखा,"लिखाने,लिखाया",2.0,9.0,likhA,4
लिपट,"लिपटकर,लिपट,लिपटे,लिपटी",4.0,3.0,lipaTa,4
लील,लीलने,1.0,2.0,lIla,3
